gene_id	colors
C2orf54	grey
GAL3ST2.1	grey
NEU4.1	turquoise
PDCD1.1	turquoise
LINC01238.2	turquoise
AC093642.1	blue
RSPO4	turquoise
TGM3	grey
CPXM1	turquoise
ADAM33	turquoise
FERMT1	grey
BMP2	turquoise
LAMP5	turquoise
SLC24A3	turquoise
INSM1	turquoise
RP5-984P4.6	grey
NKX2-2	grey
FOXA2	grey
THBD	turquoise
CD93	turquoise
CST4	grey
CST1	turquoise
CST2	turquoise
SYNDIG1	turquoise
REM1	turquoise
DUSP15	turquoise
BPIFB1	blue
MYL9	turquoise
TGM2	turquoise
BPI	turquoise
LBP	grey
PPP1R16B	turquoise
WISP2	turquoise
KCNK15	blue
RIMS4	blue
PI3	grey
SLPI	grey
MMP9	turquoise
RP11-465L10.10	turquoise
CD40	turquoise
ZNF663P	turquoise
RP5-981L23.7	turquoise
PTGIS	turquoise
RP5-955M13.4	grey
KCNG1	grey
RP4-678D15.1	turquoise
TSHZ2	turquoise
BCAS1	blue
BMP7	grey
PCK1	turquoise
ZBP1	turquoise
GNAS-AS1	grey
EDN3	turquoise
RBBP8NL	turquoise
GATA5	grey
NTSR1	grey
COL9A3	turquoise
SLC17A9	turquoise
EEF1A2	blue
SOX18	turquoise
MYT1.1	blue
LINC01667	grey
AP003900.6	grey
ANKRD30BP1	blue
RHOT1P2	blue
ANKRD20A11P	blue
ABCC13	blue
AP000432.3.1	brown
CHODL	grey
CYYR1	turquoise
ADAMTS5	turquoise
CLDN8	grey
LINC01436	turquoise
KCNJ6	grey
ERG	turquoise
B3GALT5	turquoise
DSCAM-AS1	blue
AP001610.5	turquoise
MX1	turquoise
TFF3	blue
TFF1	blue
TMPRSS3	turquoise
TRPM2-AS	turquoise
COL6A1	turquoise
S100B	turquoise
AC005301.9	turquoise
ANKRD62P1-PARP4P3	turquoise
ANKRD62P1	turquoise
TPTEP1	turquoise
VWFP1	turquoise
CECR1	turquoise
PRODH	grey
CLDN5	turquoise
IGLV1-47	turquoise
PRAME.1	grey
IGLV3-19	turquoise
IGLV3-1	turquoise
IGLC1	turquoise
IGLL5	turquoise
IGLJ2	turquoise
IGLC2	turquoise
IGLJ3	turquoise
IGLC3	turquoise
IGLC6	turquoise
MMP11.1	turquoise
SEZ6L	turquoise
OSM	turquoise
SEC14L4	grey
SLC5A1	turquoise
TIMP3	turquoise
APOL4	turquoise
PVALB.1	blue
CSF2RB	turquoise
TMPRSS6	blue
IL2RB	turquoise
RAC2	turquoise
ELFN2.1	grey
SOX10	turquoise
MGAT3	turquoise
CACNA1I	turquoise
SCUBE1	turquoise
SULT4A1	turquoise
PHF21B	blue
SMC1B	grey
RP11-191L9.4	grey
CTA-280A3.2	grey
MLC1	turquoise
TYMP	turquoise
CTA-384D8.31	grey
KLHDC7B	grey
CIDEC	turquoise
SLC6A11	grey
FBLN2	turquoise
FGD5	turquoise
GALNT15	turquoise
ZNF385D	turquoise
XIRP1	turquoise
CYP8B1	grey
ZNF662	turquoise
RP4-555D20.2	grey
TMEM158	turquoise
LTF	turquoise
PRSS50	turquoise
PRSS50.1	turquoise
PTH1R	turquoise
SEMA3G	turquoise
STAB1	turquoise
FAM107A	turquoise
FAM3D	turquoise
ADAMTS9	turquoise
CD96	turquoise
CD200	turquoise
CCDC80	turquoise
PARP15	brown
TRH	blue
SLCO2A1	turquoise
RBP1	turquoise
CLSTN2	blue
PCOLCE2	grey
CHST2	turquoise
ZIC4	grey
ZIC1	grey
AGTR1	turquoise
CPA3	turquoise
RP11-680B3.2	grey
RP11-206M11.7	blue
TM4SF18	turquoise
MME	turquoise
PLCH1	grey
RARRES1	grey
SPTSSB	blue
LRRC31	blue
LAMP3	grey
IGF2BP2	grey
ADIPOQ-AS1	turquoise
ADIPOQ	turquoise
TP63	grey
CLDN1	grey
ATP13A5	grey
LRRC15	turquoise
APOD	turquoise
RP11-1191J2.2	turquoise
RP11-20I20.4	turquoise
DOK7	blue
ADRA2C	blue
STK32B	turquoise
EVC2	turquoise
PPP2R2C	grey
S100P	grey
HTRA3	turquoise
MTND2P31	blue
LINC00504	blue
FGFBP2	turquoise
LDB2	turquoise
RP11-496D24.2	grey
SOD3	turquoise
SLC34A2	turquoise
