node_name,MCC,DMNC,MNC,Degree,EPC,BottleNeck,EcCentricity,Closeness,Radiality,Betweenness,Stress,ClusteringCoefficient
9606.ENSP00000362268,24.0,0.56839,4.0,4.0,25.44,1.0,0.06667,31.96963,7.72727,0.0,0.0,1.0,
9606.ENSP00000385026,3628830.0,0.73175,12.0,12.0,129.005,4.0,0.1,63.67579,12.18182,1267.77904,10518.0,0.75758,
9606.ENSP00000249442,26.0,0.56839,4.0,6.0,28.862,5.0,0.07143,37.0861,8.71074,1904.0,12208.0,0.46667,
9606.ENSP00000498905,2.0,0.30779,2.0,2.0,22.267,1.0,0.0625,33.54178,8.78512,0.0,0.0,1.0,
9606.ENSP00000310305,3.0,0.30779,2.0,3.0,61.573,1.0,0.07692,46.68926,10.70661,342.61581,1340.0,0.33333,
9606.ENSP00000379263,720.0,0.71324,6.0,6.0,64.912,1.0,0.08333,44.00891,10.19008,0.0,0.0,1.0,
9606.ENSP00000333547,24.0,0.56839,4.0,4.0,65.818,1.0,0.07692,42.71213,10.18182,0.0,0.0,1.0,
9606.ENSP00000381461,6.0,0.46346,3.0,3.0,41.302,1.0,0.07692,40.34035,9.75207,0.0,0.0,1.0,
9606.ENSP00000374490,18.0,0.45378,5.0,5.0,53.926,1.0,0.09091,40.44304,9.86777,7.46667,30.0,0.7,
9606.ENSP00000357079,720.0,0.71324,6.0,6.0,65.196,1.0,0.08333,44.00891,10.19008,0.0,0.0,1.0,
9606.ENSP00000299665,2.0,0.0,1.0,2.0,40.132,6.0,0.1,42.31071,10.61157,1682.62207,6028.0,0.0,
9606.ENSP00000377867,5.0,0.30898,3.0,4.0,21.454,5.0,0.07143,36.22871,8.80992,1905.0,7052.0,0.33333,
9606.ENSP00000350686,3.0,0.30779,2.0,3.0,61.075,12.0,0.08333,48.97532,10.88843,2769.15138,5840.0,0.33333,
9606.ENSP00000347717,11.0,0.25931,5.0,8.0,121.902,14.0,0.08333,62.32114,11.99587,3435.34785,13064.0,0.14286,
9606.ENSP00000452037,19.0,0.45378,5.0,6.0,56.216,7.0,0.09091,45.15242,10.60744,2228.37476,5446.0,0.46667,
9606.ENSP00000345656,26.0,0.56839,4.0,6.0,113.477,14.0,0.09091,55.45321,11.65289,4101.31325,22702.0,0.4,
9606.ENSP00000261751,3628830.0,0.73175,12.0,12.0,129.005,5.0,0.1,63.67579,12.18182,1267.77904,10518.0,0.75758,
9606.ENSP00000455426,7.0,0.46346,3.0,4.0,66.621,5.0,0.08333,46.67478,10.66529,1754.32587,4606.0,0.5,
9606.ENSP00000257017,24.0,0.56839,4.0,4.0,65.775,1.0,0.07692,42.71213,10.18182,0.0,0.0,1.0,
9606.ENSP00000383737,6.0,0.46346,3.0,3.0,47.919,1.0,0.09091,39.06209,9.83471,0.0,0.0,1.0,
