"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LRRC38",4.49147680079208,-2.09129401951026,0.492402638334636,-4.24712188095348,2.16534178139237e-05,7.55849185026781e-05
"C1orf195",13.7478518842369,1.44674135261272,0.292051308367686,4.9537232368475,7.28067424457481e-07,3.36293128389567e-06
"RP1-21O18.3",5.99950260970737,1.91619709322075,0.377974337329961,5.06964866122105,3.98550731903286e-07,1.94024178882299e-06
"RP5-903E17.2",8.54346558612872,1.69680711598153,0.420213704158714,4.03796234913046,5.39175041417961e-05,0.000173534056044489
"RP3-467K16.2",47.0412835304525,1.41770099451359,0.25091865578399,5.6500422022588,1.60408451076232e-08,1.0173720105676e-07
"FHAD1",257.604422608426,1.64784749191986,0.280761804903507,5.86920109195837,4.37900055238927e-09,3.09686075101403e-08
"RP3-467K16.4",9.15543110059848,1.3704276470554,0.336693740166248,4.07024985489404,4.69627430463118e-05,0.000153105320722538
"CTRC",17.9225922784795,1.74140352078701,0.31650868883184,5.50191379331204,3.75690651902881e-08,2.21605652455894e-07
"AGMAT",60.0347674597524,1.26989334388113,0.182120527136925,6.97281829700823,3.10653756312452e-12,3.8339317322221e-11
"RP4-680D5.2",16.78386219285,2.09683935172417,0.290617654940685,7.21511345259508,5.38890284483188e-13,7.63454475517085e-12
"RP4-680D5.9",2.03875361941382,1.23595736499188,0.458409754983688,2.6961846940536,0.00701387650178464,0.0143982569854562
"UQCRHL",327.927688070304,1.36478586230853,0.166131692845699,8.21508430408956,2.12015256810853e-16,5.29595752341559e-15
"RP1-134O19.3",2.81039021648579,1.64599854016523,0.390204353300897,4.21829876125436,2.46152524454689e-05,8.49392061217322e-05
"RP11-5P18.1",4.71399282877584,1.46039566459237,0.332906808907066,4.38680022612592,1.15030350706413e-05,4.23156514064424e-05
"RP11-5P18.5",35.6835096053801,-2.66893655574035,0.82749974906604,-3.22530195175606,0.0012583986847022,0.00305461656698763
"C1orf64",76.9912199236668,-2.73631163862138,0.719893880232561,-3.80099305433381,0.000144117342291426,0.000425439796290298
"HSPB7",1815.99633025552,-5.45602252732367,0.441884949421945,-12.3471562778072,5.04638356357088e-35,1.32047036580105e-32
"RP11-5P18.10",26.4037795361573,2.31659309289261,0.478552987201296,4.84082882115239,1.29298715760275e-06,5.70064359099602e-06
"FAM131C",134.057262160265,2.63634350681644,0.443748576682784,5.94107484586041,2.831592857747e-09,2.06977292006129e-08
"EPHA2",2871.12369330157,-1.37435339655551,0.251796176289054,-5.45819804260169,4.80990998929075e-08,2.78638446451957e-07
"ARHGEF19-AS1",183.161808582609,1.98790930387048,0.264204622481936,7.52412764468722,5.30734760167672e-14,8.81214770826247e-13
"ARHGEF19",2769.31076783273,1.44622288314924,0.275280679411809,5.25363017208247,1.49130187144909e-07,7.88461853973054e-07
"RP4-798A10.7",19.5509480916023,1.34258466786199,0.322144816845966,4.16764323886032,3.0776511749633e-05,0.000104349873619711
"RP5-875O13.7",38.8235881338537,2.513949598042,0.418123171163463,6.0124618089132,1.82726889707825e-09,1.3872237307921e-08
"RP1-163M9.7",2.64579641592895,2.00228940070538,0.556609202809134,3.59729841080615,0.000321539521461164,0.000884372199033189
"ESPNP",87.7146968450155,2.59172345189807,0.430279187126462,6.02335304481353,1.70840227427352e-09,1.3055672343375e-08
